id,name,tracking_url
asendia,Asendia,https://track.aftership.com/asendia/
canada-post,Canada Post,https://track.aftership.com/canada-post/
chronopost,Chronopost,https://www.chronopost.fr/en/chrono_suivi_search?listeNumerosLT=
dhl,DHL Express,http://www.dhl.com/en/express/tracking.html?AWB=
dhl-ecommerce,DHL Ecommerce,https://webtrack.dhlglobalmail.com/?trackingnumber=
dhl-global-mail,DHL Global Mail,https://webtrack.dhlglobalmail.com/?trackingnumber=
dhl-parcel,DHL Parcel,https://webtrack.dhlglobalmail.com/?trackingnumber=
other,Other,https://track.flow.io/
fedex,FedEx,https://www.fedex.com/apps/fedextrack/?tracknumbers=
ilg,ILG,https://www.ilguk.com/track-trace/
landmark,Landmark,https://track.landmarkglobal.com/?trck=
la-poste,La Poste,https://www.laposte.fr/particulier/outils/en/track-a-parcel?code=
rrdonnelley,RR Donnelley,https://track.aftership.com/rrdonnelley/
sf-express,SF Express,http://www.sf-express.com/us/en/dynamic_function/waybill/#search/bill-number/
ups,UPS,https://track.aftership.com/ups/
usps,USPS,https://track.aftership.com/usps/
wn-direct,WN Direct,http://wndirect.com/tracking.php?type=TR&ref=
