country,duty
abw,paid
aia,paid
ala,paid
alb,paid
and,paid
are,paid
arg,paid
arm,paid
asm,paid
atg,paid
aus,paid
aut,paid
aze,paid
bel,paid
ben,paid
bes,paid
bfa,paid
bgd,paid
bgr,paid
bhr,paid
bhs,paid
bih,paid
blm,paid
blz,paid
bmu,paid
bol,paid
bra,paid
brb,paid
brn,paid
btn,paid
bwa,paid
caf,paid
can,paid
che,paid
chl,paid
chn,paid
civ,paid
cmr,paid
cog,paid
cok,paid
col,paid
com,paid
cpv,paid
cri,paid
cuw,paid
cym,paid
cyp,paid
cze,paid
deu,paid
dji,paid
dma,paid
dnk,paid
dom,paid
dza,paid
ecu,paid
egy,paid
esh,paid
esp,paid
est,paid
eth,paid
fin,paid
fji,paid
flk,paid
fra,paid
fsm,paid
gab,paid
gbr,paid
geo,paid
ggy,paid
gha,paid
gib,paid
gin,paid
glp,paid
gmb,paid
gnb,paid
gnq,paid
grc,paid
grd,paid
grl,paid
gtm,paid
guf,paid
gum,paid
guy,paid
hkg,paid
hnd,paid
hrv,paid
hti,paid
hun,paid
idn,paid
imn,paid
ind,paid
irl,paid
isl,paid
isr,paid
ita,paid
jam,paid
jey,paid
jor,paid
jpn,paid
kaz,paid
ken,paid
kgz,paid
khm,paid
kir,paid
kna,paid
kor,paid
kwt,paid
lao,paid
lbn,paid
lby,paid
lca,paid
lie,paid
lka,paid
lso,paid
ltu,paid
lux,paid
lva,paid
mac,paid
maf,paid
mar,paid
mco,paid
mda,paid
mdv,paid
mex,paid
mhl,paid
mli,paid
mlt,paid
mne,paid
mng,paid
mnp,paid
mrt,paid
msr,paid
mtq,paid
mus,paid
mwi,paid
mys,paid
myt,paid
nam,paid
mmr,paid
ncl,paid
ner,paid
nfk,paid
nga,paid
nic,paid
niu,paid
nld,paid
nor,paid
npl,paid
nru,paid
nzl,paid
omn,paid
pak,paid
pan,paid
pcn,paid
per,paid
phl,paid
plw,paid
png,paid
pol,paid
pri,paid
prt,paid
pry,paid
pyf,paid
qat,paid
reu,paid
rou,paid
rus,paid
rwa,paid
sau,paid
sen,paid
sgp,paid
shn,paid
sjm,paid
slb,paid
sle,paid
slv,paid
smr,paid
som,paid
spm,paid
srb,paid
stp,paid
svk,paid
svn,paid
swe,paid
swz,paid
sxm,paid
syc,paid
tca,paid
tcd,paid
tgo,paid
tha,paid
tkl,paid
tls,paid
ton,paid
tto,paid
tun,paid
tur,paid
tuv,paid
twn,paid
tza,paid
uga,paid
ukr,paid
ury,paid
usa,paid
uzb,paid
vat,paid
vct,paid
ven,paid
vgb,paid
vir,paid
vnm,paid
vut,paid
wlf,paid
wsm,paid
yem,paid
zaf,paid
zmb,paid
